2016-06-04T09:53:45.530902
E0:43:DB	Shenzhen ViewAt Technology Co.,Ltd.
B4:F0:AB	Apple, Inc.
10:DD:B1	Apple, Inc.
04:F7:E4	Apple, Inc.
34:C0:59	Apple, Inc.
F0:D1:A9	Apple, Inc.
F8:27:93	Apple, Inc.
AC:FD:EC	Apple, Inc.
D0:E1:40	Apple, Inc.
F8:32:E4	ASUSTek COMPUTER INC.
8C:7C:92	Apple, Inc.
78:31:C1	Apple, Inc.
F4:37:B7	Apple, Inc.
54:AE:27	Apple, Inc.
64:76:BA	Apple, Inc.
84:B1:53	Apple, Inc.
78:3A:84	Apple, Inc.
2C:BE:08	Apple, Inc.
24:E3:14	Apple, Inc.
00:10:FF	Cisco Systems, Inc
34:BD:C8	Cisco Systems, Inc
54:A2:74	Cisco Systems, Inc
58:97:BD	Cisco Systems, Inc
04:6C:9D	Cisco Systems, Inc
60:FE:C5	Apple, Inc.
00:A0:40	Apple, Inc.
BC:3B:AF	Apple, Inc.
78:6C:1C	Apple, Inc.
04:15:52	Apple, Inc.
38:48:4C	Apple, Inc.
70:11:24	Apple, Inc.
C8:6F:1D	Apple, Inc.
68:5B:35	Apple, Inc.
38:0F:4A	Apple, Inc.
30:10:E4	Apple, Inc.
04:DB:56	Apple, Inc.
88:1F:A1	Apple, Inc.
04:E5:36	Apple, Inc.
10:9A:DD	Apple, Inc.
40:A6:D9	Apple, Inc.
7C:F0:5F	Apple, Inc.
A4:B1:97	Apple, Inc.
0C:74:C2	Apple, Inc.
40:30:04	Apple, Inc.
48:60:BC	Apple, Inc.
50:EA:D6	Apple, Inc.
28:E0:2C	Apple, Inc.
60:C5:47	Apple, Inc.
7C:11:BE	Apple, Inc.
00:3E:E1	Apple, Inc.
68:D9:3C	Apple, Inc.
2C:F0:EE	Apple, Inc.
84:78:8B	Apple, Inc.
6C:94:F8	Apple, Inc.
70:3E:AC	Apple, Inc.
C0:1A:DA	Apple, Inc.
34:36:3B	Apple, Inc.
C8:1E:E7	Apple, Inc.
9C:FC:01	Apple, Inc.
00:0D:93	Apple, Inc.
00:1C:B3	Apple, Inc.
64:B9:E8	Apple, Inc.
34:15:9E	Apple, Inc.
58:B0:35	Apple, Inc.
F0:B4:79	Apple, Inc.
14:13:57	ATP Electronics, Inc.
F4:4B:2A	Cisco SPVTG
3C:8C:F8	TRENDnet, Inc.
78:D6:B2	Toshiba
C0:4A:09	Zhejiang Everbright Communication Equip. Co,. Ltd
F0:0D:5C	JinQianMao  Technology Co.,Ltd.
2C:08:1C	OVH
30:E0:90	Linctronix Ltd,
70:BF:3E	Charles River Laboratories
D8:48:EE	Hangzhou Xueji Technology Co., Ltd.
88:94:7E	Fiberhome Telecommunication Technologies Co.,LTD
88:C2:42	Poynt Co.
E8:34:3E	Beijing Infosec Technologies Co., LTD.
C4:AD:F1	GOPEACE Inc.
58:F4:96	Source Chain
80:B7:09	Viptela, Inc
1C:60:DE	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
74:18:65	Shanghai DareGlobal Technologies Co.,Ltd
00:84:ED	Private
DC:DC:07	TRP Systems BV
08:0A:4E	Planet Bingo® — 3rd Rock Gaming®
0C:1A:10	Acoustic Stream
E4:A3:87	Control Solutions LLC
DC:82:F6	iPort
C4:9E:41	G24 Power Limited
D0:3E:5C	HUAWEI TECHNOLOGIES CO.,LTD
C8:A9:FC	Goyoo Networks Inc.
C4:9F:F3	Mciao Technologies, Inc.
80:73:9F	KYOCERA Corporation
7C:2B:E1	Shenzhen Ferex Electrical Co.,Ltd
30:FF:F6	HangZhou KuoHeng Technology Co.,ltd
58:53:C0	Beijing Guang Runtong Technology Development Company co.,Ltd
50:31:AD	ABB Global Industries and Services Private Limited
30:A2:43	Shenzhen Prifox Innovation Technology Co., Ltd.
2C:A5:39	Parallel Wireless, Inc
FC:33:5F	Polyera
FC:C2:33	Private
A8:C8:7F	Roqos, Inc.
C0:25:A2	NEC Platforms, Ltd.
78:53:F2	ROXTON Ltd.
AC:BC:32	Apple, Inc.
94:BB:AE	Husqvarna AB
AC:89:95	AzureWave Technology Inc.
F8:98:B9	HUAWEI TECHNOLOGIES CO.,LTD
1C:49:7B	Gemtek Technology Co., Ltd.
2C:CF:58	HUAWEI TECHNOLOGIES CO.,LTD
54:FF:82	Davit Solution co.
D4:45:E8	Jiangxi Hongpai Technology Co., Ltd.
84:79:73	Shanghai Baud Data Communication Co.,Ltd.
90:6F:18	Private
88:1B:99	SHENZHEN XIN FEI JIA ELECTRONIC CO. LTD.
68:12:95	Lupine Lighting Systems GmbH
64:9A:12	P2 Mobile Technologies Limited
E4:C2:D1	HUAWEI TECHNOLOGIES CO.,LTD
DC:3C:F6	Atomic Rules LLC
3C:31:78	Qolsys Inc.
F4:57:3E	Fiberhome Telecommunication Technologies Co.,LTD
08:3A:5C	Junilab, Inc.
4C:AE:31	ShengHai Electronics (Shenzhen) Ltd
C8:0E:14	AVM Audiovisuelles Marketing und Computersysteme GmbH
F0:D6:57	ECHOSENS
24:69:3E	innodisk Corporation
E4:8D:8C	Routerboard.com
C0:DC:6A	Qingdao Eastsoft Communication Technology Co.,LTD
64:59:F8	Vodafone Omnitel B.V.
08:2C:B0	Network Instruments
F0:AB:54	MITSUMI ELECTRIC CO.,LTD.
48:50:73	Microsoft Corporation
3C:A3:1A	Oilfind International LLC
AC:FD:93	Weifang GoerTek Electronics Co., Ltd.
A4:24:DD	Cambrionix Ltd
88:A2:D7	HUAWEI TECHNOLOGIES CO.,LTD
D8:9A:34	Beijing SHENQI Technology Co., Ltd.
1C:AD:D1	Bosung Electronics Co., Ltd.
24:E5:AA	Philips Oral Healthcare, Inc.
88:CB:A5	Suzhou Torchstar Intelligent Technology Co.,Ltd
04:61:69	MEDIA GLOBAL LINKS CO., LTD.
AC:56:2C	LAVA INTERNATIONAL(H.K) LIMITED
3C:CE:15	Mercedes-Benz USA, LLC
84:DF:19	Chuango Security Technology Corporation
3C:47:11	HUAWEI TECHNOLOGIES CO.,LTD
24:5B:F0	Liteon, Inc.
FC:FE:C2	Invensys Controls UK Limited
E8:F2:E2	LG Innotek
AC:67:6F	Electrocompaniet A.S.
4C:B8:2C	Cambridge Mobile Telematics, Inc.
F0:22:4E	Esan electronic co.
B0:41:1D	ITTIM Technologies
7C:B2:5C	Acacia Communications
78:EB:39	Instituto Nacional de Tecnología Industrial
7C:C9:5A	EMC
EC:EE:D8	ZTLX Network Technology Co.,Ltd
F8:5B:9C	SB SYSTEMS Co.,Ltd
7C:A2:37	King Slide Technology CO., LTD.
30:0E:E3	Aquantia Corporation
84:73:03	Letv Mobile and Intelligent Information Technology (Beijing) Corporation Ltd.
B0:49:5F	OMRON HEALTHCARE Co., Ltd.
BC:6E:64	Sony Mobile Communications AB
F4:47:13	Leading Public Performance Co., Ltd.
D4:52:2A	TangoWiFi.com
B0:EC:E1	Private
40:7F:E0	Glory Star Technics (ShenZhen) Limited
BC:5C:4C	ELECOM CO.,LTD.
6C:59:40	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
6C:A7:5F	zte corporation
C8:C5:0E	Shenzhen Primestone Network Technologies.Co., Ltd.
9C:BE:E0	Biosoundlab Co., Ltd.
5C:5B:35	Mist Systems, Inc.
E8:07:BF	SHENZHEN BOOMTECH INDUSTRY CO.,LTD
E8:16:2B	IDEO Security Co., Ltd.
70:9F:2D	zte corporation
5C:6B:4F	Private
EC:E2:FD	SKG Electric Group(Thailand) Co., Ltd.
88:E6:03	Avotek corporation
74:E2:8C	Microsoft Corporation
94:F1:9E	HUIZHOU MAORONG INTELLIGENT TECHNOLOGY CO.,LTD
C4:92:4C	KEISOKUKI CENTER CO.,LTD.
E4:F9:39	Minxon Hotel Technology INC.
38:C7:0A	WiFiSong
60:E6:BC	Sino-Telecom Technology Co.,Ltd.
1C:A5:32	Shenzhen Gongjin Electronics Co.,Ltd
48:6E:FB	Davit System Technology Co., Ltd.
34:0A:22	TOP-ACCESS ELECTRONICS CO LTD
B0:08:BF	Vital Connect, Inc.
48:54:15	NET RULES TECNOLOGIA EIRELI
70:C7:6F	INNO S
70:4E:66	SHENZHEN FAST TECHNOLOGIES CO.,LTD
40:9B:0D	Shenzhen Yourf Kwan Industrial Co., Ltd
C4:08:80	Shenzhen UTEPO Tech Co., Ltd.
94:C0:38	Tallac Networks
80:19:67	Shanghai Reallytek Information Technology  Co.,Ltd
68:36:B5	DriveScale, Inc.
2C:F7:F1	Seeed Technology Inc.
F8:84:79	Yaojin Technology(Shenzhen)Co.,Ltd
4C:48:DA	Beijing Autelan Technology Co.,Ltd
90:17:9B	Nanomegas
30:77:CB	Maike Industry(Shenzhen)CO.,LTD
34:28:F0	ATN International Limited
EC:3C:5A	SHEN ZHEN HENG SHENG HUI DIGITAL TECHNOLOGY CO.,LTD
8C:05:51	Koubachi AG
D8:84:66	Extreme Networks
E8:87:A3	Loxley Public Company Limited
10:FA:CE	Reacheng Communication Technology Co.,Ltd
D8:CB:8A	Micro-Star INTL CO., LTD.
A8:D0:E3	Systech Electronics Ltd.
84:63:D6	Microsoft Corporation
78:B3:B9	ShangHai sunup lighting CO.,LTD
F4:EE:14	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
18:65:71	Top Victory Electronics (Taiwan) Co., Ltd.
F8:BC:41	Rosslare Enterprises Limited
84:86:F3	Greenvity Communications
20:5C:FA	Yangzhou ChangLian Network Technology Co,ltd.
8C:18:D9	Shenzhen RF Technology Co., Ltd
60:99:D1	Vuzix / Lenovo
34:F6:D2	Panasonic Taiwan Co.,Ltd.
DC:2F:03	Step forward Group Co., Ltd.
58:21:36	KMB systems, s.r.o.
00:AE:FA	Murata Manufacturing Co., Ltd.
5C:AA:FD	Sonos, Inc.
8C:DF:9D	NEC Corporation
F8:E9:03	D-Link International
F0:B0:52	Ruckus Wireless
68:28:F6	Vubiq Networks, Inc.
44:35:6F	Neterix
74:2E:FC	DirectPacket Research, Inc,
20:C0:6D	SHENZHEN SPACETEK TECHNOLOGY CO.,LTD
3C:B7:92	Hitachi Maxell, Ltd., Optronics Division
74:91:BD	Four systems Co.,Ltd.
D4:32:66	Fike Corporation
94:8E:89	INDUSTRIAS UNIDAS SA DE CV
94:05:B6	Liling FullRiver Electronics & Technology Ltd
38:2C:4A	ASUSTek COMPUTER INC.
74:54:7D	Cisco SPVTG
D4:8F:33	Microsoft Corporation
1C:A2:B1	ruwido austria gmbh
94:54:93	Rigado, LLC
34:B7:FD	Guangzhou Younghead Electronic Technology Co.,Ltd
38:4B:76	AIRTAME ApS
1C:52:16	DONGGUAN HELE ELECTRONICS CO., LTD
34:02:9B	CloudBerry Technologies Private Limited
70:AF:25	Nishiyama Industry Co.,LTD.
B4:7C:29	Shenzhen Guzidi Technology Co.,Ltd
2C:1A:31	Electronics Company Limited
6C:19:8F	D-Link International
60:C1:CB	Fujian Great Power PLC Equipment Co.,Ltd
68:6E:48	Prophet Electronic Technology Corp.,Ltd
30:F7:D7	Thread Technology Co., Ltd
38:08:FD	Silca Spa
7C:25:87	chaowifi.com
20:12:D5	Scientech Materials Corporation
DC:39:79	Skyport Systems
EC:1D:7F	zte corporation
AC:11:D3	Suzhou HOTEK  Video Technology Co. Ltd
30:42:25	BURG-WÄCHTER KG
1C:48:40	IMS Messsysteme GmbH
F4:28:53	Zioncom Electronics (Shenzhen) Ltd.
3C:46:D8	TP-LINK TECHNOLOGIES CO.,LTD.
6C:02:73	Shenzhen Jin Yun Video Equipment Co., Ltd.
2C:FA:A2	Alcatel-Lucent
F0:76:1C	COMPAL INFORMATION (KUNSHAN) CO., LTD.
F4:28:33	MMPC Inc.
24:4F:1D	iRule LLC
BC:9C:C5	Beijing Huafei Technology Co., Ltd.
50:50:65	TAKT Corporation
D0:0A:AB	Yokogawa Digital Computer Corporation
A4:A4:D3	Bluebank Communication Technology Co.Ltd
74:F4:13	Maxwell Forest
34:F0:CA	Shenzhen Linghangyuan Digital Technology Co.,Ltd.
84:18:3A	Ruckus Wireless
30:B5:F1	Aitexin Technology Co., Ltd
88:29:50	Dalian Netmoon Tech Develop Co.,Ltd
08:CD:9B	samtec automotive electronics & software GmbH
28:FC:F6	Shenzhen Xin KingBrand enterprises Co.,Ltd
4C:26:E7	Welgate Co., Ltd.
94:D6:0E	shenzhen yunmao information technologies co., ltd
7C:6A:C3	GatesAir, Inc
3C:CD:5A	Technische Alternative GmbH
60:48:26	Newbridge Technologies Int. Ltd.
24:D1:3F	MEXUS CO.,LTD
70:2C:1F	Wisol
9C:BD:9D	SkyDisk, Inc.
74:C6:21	Zhejiang Hite Renewable Energy Co.,LTD
44:C3:06	SIFROM Inc.
54:A3:1B	Shenzhen Linkworld Technology Co,.LTD
5C:E7:BF	New Singularity International Technical Development Co.,Ltd
1C:EE:E8	Ilshin Elecom
6C:64:1A	Penguin Computing
E0:36:E3	Stage One International Co., Ltd.
34:DE:34	zte corporation
34:46:6F	HiTEM Engineering
2C:39:C1	Ciena Corporation
6C:2C:06	OOO NPP Systemotechnika-NN
54:EE:75	Wistron InfoComm(Kunshan)Co.,Ltd.
60:81:2B	Custom Control Concepts
F8:66:01	Suzhou Chi-tek information technology Co., Ltd
FC:4A:E9	Castlenet Technology Inc.
34:E4:2A	Automatic Bar Controls Inc.
B8:7C:F2	Aerohive Networks Inc.
20:A7:87	Bointec Taiwan Corporation Limited
6C:AA:B3	Ruckus Wireless
A4:81:EE	Nokia Corporation
54:C8:0F	TP-LINK TECHNOLOGIES CO.,LTD.
D4:21:22	Sercomm Corporation
EC:17:66	Research Centre Module
7C:FF:62	Huizhou Super Electron Technology Co.,Ltd.
A0:D1:2A	AXPRO Technology Inc.
30:C7:50	MIC Technology Group
44:29:38	NietZsche enterprise Co.Ltd.
D8:81:CE	AHN INC.
E0:D3:1A	EQUES Technology Co., Limited
9C:3E:AA	EnvyLogic Co.,Ltd.
90:98:64	Impex-Sat GmbH&amp;Co KG
DC:E5:78	Experimental Factory of Scientific Engineering and Special Design Department
94:9F:3F	Optek Digital Technology company limited
98:77:70	Pep Digital Technology (Guangzhou) Co., Ltd
44:11:C2	Telegartner Karl Gartner GmbH
94:51:BF	Hyundai ESG
4C:7F:62	Nokia Corporation
84:17:66	Weifang GoerTek Electronics Co., Ltd
F0:3F:F8	R L Drake
B0:C5:54	D-Link International
54:D1:63	MAX-TECH,INC
E4:12:18	ShenZhen Rapoo Technology Co., Ltd.
2C:8A:72	HTC Corporation
44:86:C1	Siemens Low Voltage & Products
C8:31:68	eZEX corporation
F8:4A:73	EUMTECH CO., LTD
88:0F:10	Huami Information Technology Co.,Ltd.
24:33:6C	Private
C4:6B:B4	myIDkey
EC:E5:12	tado GmbH
30:91:8F	Technicolor
FC:09:F6	GUANGDONG TONZE ELECTRIC CO.,LTD
68:78:48	Westunitis Co., Ltd.
A8:B9:B3	ESSYS
64:B3:70	PowerComm Solutions LLC
D8:65:95	Toy's Myth Inc.
D8:DD:5F	BALMUDA Inc.
88:D9:62	Canopus Systems US LLC
24:C8:48	mywerk system GmbH
2C:18:AE	Trend Electronics Co., Ltd.
E0:97:F2	Atomax Inc.
90:F3:B7	Kirisun Communications Co., Ltd.
DC:AD:9E	GreenPriz
B4:82:7B	AKG Acoustics GmbH
90:8C:44	H.K ZONGMU TECHNOLOGY CO., LTD.
0C:47:3D	Hitron Technologies. Inc
4C:5E:0C	Routerboard.com
9C:F8:DB	shenzhen eyunmei technology co,.ltd
64:42:14	Swisscom Energy Solutions AG
8C:CD:A2	ACTP, Inc.
CC:72:0F	Viscount Systems Inc.
90:67:17	Alphion India Private Limited
24:05:0F	MTN Electronic Co. Ltd
40:B6:B1	SUNGSAM CO,.Ltd
98:FF:6A	OTEC(Shanghai)Technology Co.,Ltd.
AC:6B:AC	Jenny Science AG
70:7C:18	ADATA Technology Co., Ltd
FC:4B:1C	INTERSENSOR S.R.L.
18:79:A2	GMJ ELECTRIC LIMITED
E0:C8:6A	SHENZHEN TW-SCIE Co., Ltd
80:BA:E6	Neets
3C:18:A0	Luxshare Precision Industry Co.,Ltd.
4C:B8:1C	SAM Electronics GmbH
04:1A:04	WaveIP
50:20:6B	Emerson Climate Technologies Transportation Solutions
C8:EE:75	Pishion International Co. Ltd
CC:34:29	TP-LINK TECHNOLOGIES CO.,LTD.
40:74:96	aFUN TECHNOLOGY INC.
18:C8:E7	Shenzhen Hualistone Technology Co.,Ltd
3C:F7:48	Shenzhen Linsn Technology Development Co.,Ltd
9C:03:9E	Beijing Winchannel Software Technology Co., Ltd
F8:A9:63	COMPAL INFORMATION (KUNSHAN) CO., LTD.
48:A2:B7	Kodofon JSC
44:3C:9C	Pintsch Tiefenbach GmbH
F8:1C:E5	Telefonbau Behnke GmbH
BC:2D:98	ThinGlobal LLC
7C:72:E4	Unikey Technologies
18:1B:EB	Actiontec Electronics, Inc
CC:74:98	Filmetrics Inc.
7C:6A:B3	IBC TECHNOLOGIES INC.
F0:32:1A	Mita-Teknik A/S
4C:D7:B6	Helmer Scientific
74:6F:3D	Contec GmbH
48:3D:32	Syscor Controls &amp; Automation
90:31:CD	Onyx Healthcare Inc.
A0:E4:53	Sony Mobile Communications AB
40:4A:18	Addrek Smart Solutions
C4:C0:AE	MIDORI ELECTRONIC CO., LTD.
90:83:7A	General Electric Water & Process Technologies
08:97:58	Shenzhen Strong Rising Electronics Co.,Ltd DongGuan Subsidiary
B4:24:E7	Codetek Technology Co.,Ltd
44:EE:30	Budelmann Elektronik GmbH
38:DB:BB	Sunbow Telecom Co., Ltd.
